routename,boardings,complaints,comR,bsiR,capR,cleR,nsR,dcR,farR,mainR,pcR,miscR,praiR,schedR,safeR,,,,,,,,,,,,,,,,,,,,,maintenance,passengerConduct,misc ratio,praise ratio,schedule ratio,safety ratio
72,526311,405,76.95070025,3.420031122,0.190001729,2.660024206,5.70005187,10.4500951,0,0,0,3.610032851,3.80003458,42.94039076,4.180038038,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1147814,549,47.83004912,3.049274534,1.132587684,1.219709814,4.704594995,2.787908145,0,0.3484885182,0,2.178053239,0.8712212954,30.05713469,1.481076202,,,,,,,,,,,,,,,,,,,,,,,,,,
95,913182,432,47.30710855,1.971129523,0.9855647615,1.752115131,6.241910156,3.83275185,0.2190143914,0.8760575657,0.1095071957,4.489795024,5.36585259,18.50671608,2.956694284,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1502134,619,41.20804136,2.063730666,0.3328597848,0.8654354405,3.395169805,4.39374916,0.1997158709,0.2662878279,0,2.995738063,0.7988634836,24.96448386,0.9320073975,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1027828,421,40.96016065,2.626898664,1.070217974,0.875632888,3.307946466,3.988994268,0,0.5837552587,0,3.307946466,0.5837552587,23.2529178,1.362095604,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1431577,559,39.04784723,1.327207688,0.6286773258,0.2095591086,2.93382752,2.863974484,0,0.1397060724,0,2.375003231,0.9080894706,26.40444768,1.257354652,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1526402,596,39.04607043,1.703352066,0.327567705,0.8516760329,6.092759312,5.175569739,0.327567705,0.7206489509,0.131027082,1.96540623,1.113730197,19.26098105,1.375784361,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1338594,517,38.62261447,3.809967772,0.3735262522,0.8217577548,5.378778031,4.034083523,0,0.07470525043,0,1.568810259,0.522936753,20.24512287,1.79292601,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1297536,501,38.61164546,2.851558647,2.851558647,1.001898984,8.631745092,5.240702377,0.2312074578,0,0,2.466212883,1.4643139,12.25399526,1.618452205,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1671794,589,35.23161346,0.538343839,0.7177917854,0.3588958927,5.802150265,5.742334283,0.05981598211,0.5981598211,0.05981598211,2.27300732,2.27300732,14.47546767,2.332823302,,,,,,,,,,,,,,,,,,,,,,,,,,
