routename,description,complaints,boardings,busStopIssue,capacity,cleanliness,noStop,driverConduct,fares,maintenance,passengerConduct,misc,praise,schedule,safety
1,South Miami to Perrine,97,315771,24,1,1,10,6,0,0,0,6,1,45,3
2,Downtown Miami to Northeast 163rd Street,334,1428217,21,10,4,42,57,1,1,3,24,12,151,8
3,Aventura Mall to Downtown Miami,706,4458110,31,11,16,128,157,6,12,4,56,40,206,39
6,Coconut Grove to Northwest 30th Street,201,388330,12,1,2,14,15,0,0,1,11,9,132,4
7,Downtown Miami to Dolphin Mall,664,2245675,41,12,10,64,59,5,4,0,22,18,404,25
8,Downtown Miami to Westchester,648,3690375,27,7,11,110,102,5,6,0,39,29,273,39
9,Aventura to Downtown Miami,575,3116612,38,7,6,94,118,7,5,2,35,23,195,45
10,Skylake to Omni Bus Terminal,150,1430350,7,0,3,33,25,0,2,1,3,4,53,19
11,Florida International University to Downtown Miami,536,6364710,46,5,23,84,117,4,12,4,51,24,137,29
12,Northside to Mercy Hospital,596,1526402,26,5,13,93,79,5,11,2,30,17,294,21
16,Northeast 163rd Street to Omni Bus Terminal,213,1492301,13,1,3,38,63,2,1,0,15,8,57,12
17,Norwood to Vizcaya,709,2398704,35,4,7,77,78,2,7,1,37,54,384,23
19,Northeast 163rd Street to Miami-Dade College North,132,870482,5,5,2,21,24,0,1,0,7,3,56,8
22,Northeast 163rd Street to Coconut Grove,632,2430326,30,3,11,71,110,6,5,0,41,43,292,20
24,West Dade to Brickell ,501,1297536,37,37,13,112,68,3,0,0,32,19,159,21
27,Coconut Grove to Calder,1039,4695342,69,2,14,155,224,9,21,2,79,28,384,52
29,Hialeah Triangle to Miami Lakes,128,340174,11,5,0,25,24,0,0,0,7,6,42,8
31,Cutler Bay to Dadeland South,123,1031574,7,2,2,23,29,0,2,1,10,9,33,5
32,Miami Gardens to Omni Bus Terminal,619,1502134,31,5,13,51,66,3,4,0,45,12,375,14
33,Hialeah Gardens to Biscayne Boulevard,393,1004741,22,5,3,43,31,0,0,1,12,12,255,9
34,Busway Flyer: Florida City to Dadeland South,201,742289,4,30,2,29,42,1,12,1,28,10,33,9
35,Miami-Dade College Kendall to Florida City ,517,1338594,51,5,11,72,54,0,1,0,21,7,271,24
36,Dolphin Mall to Miami Springs,559,1431577,19,9,3,42,41,0,2,0,34,13,378,18
37,Hialeah to South Miami,525,2156774,36,9,4,42,56,0,6,1,21,31,298,21
38,Busway Max: Florida City to Dadeland South,604,4164132,67,24,21,76,156,8,5,6,55,26,125,35
40,Bird Road to Douglas Road,384,1132136,24,2,7,27,60,2,7,1,30,13,201,10
42,Douglas Road to Miami Springs,347,820624,25,2,2,25,23,0,2,1,16,15,221,15
46,Liberty City Connection,31,31078,2,4,0,1,0,0,0,0,6,0,18,0
48,Brickell to University Station,104,113273,1,2,0,11,10,1,0,0,8,3,62,6
51,Flagler Max: West Dade to Downtown Miami,317,1491349,8,2,4,37,48,1,6,0,25,13,144,29
52,Goulds to Dadeland South,263,876992,34,6,13,22,37,0,2,1,14,4,108,22
54,Hialeah Gardens to Biscayne Boulevard,582,1928720,46,8,9,38,52,3,3,2,24,28,360,9
56,Miami Children's Hospital to Southwest 162nd Avenue,233,299105,12,5,10,24,17,2,0,0,18,11,125,9
