route_name,route_description,total_complaints,boardings,bus_stop_issue,bus_stop_issue_ratio,bus_stop_issue_rank,bus_stop_issue_percent,capacity,capacity_ratio,capacity_rank,capacity_percent,cleanliness,cleanliness_ratio,cleanliness_rank,cleanliness_percent,no_stop,no_stop_ratio,no_stop_rank,no_stop_percent,driver_conduct,driver_conduct_ratio,driver_conduct_rank,driver_conduct_percent,fares,fares_ratio,fares_rank,fares_percent,maintenance,maintenance_ratio,maintenance_rank,maintenance_percent,misc,misc_ratio,misc_rank,misc_percent,passenger_conduct,passenger_conduct_ratio,passenger_conduct_rank,passenger_conduct_percent,praise,praise_ratio,praise_rank,praise_percent,safety,safety_ratio,safety_rank,safety_percent,schedule,schedule_ratio,schedule_rank,schedule_percent
1,South Miami to Perrine,97,315771,24,7.6,7,24.7,1,0.3,56,1,1,0.3,46,0.5,10,3.2,54,10.3,6,1.9,81,6.2,0,0,49,0,0,0,65,0,6,1.9,46,6.2,0,0,34,0,1,0.3,81,1,3,1,64,3.1,45,14.3,50,46.4
2,Downtown Miami to Northeast 163rd Street,334,1428217,21,1.5,44,6.3,10,0.7,35,3,4,0.3,53,1.2,42,2.9,60,12.6,57,4,32,17.1,1,0.1,44,0.3,1,0.1,63,0.3,24,1.7,54,7.2,3,0.2,5,0.9,12,0.8,56,3.6,8,0.6,79,2.4,151,10.6,62,45.2
3,Aventura Mall to Downtown Miami,706,4458110,31,0.7,67,4.4,11,0.2,64,1.6,16,0.4,41,2.3,128,2.9,64,18.1,157,3.5,47,22.2,6,0.1,34,0.8,12,0.3,31,1.7,56,1.3,70,7.9,4,0.1,20,0.6,40,0.9,51,5.7,39,0.9,71,5.5,206,4.6,75,29.2
6,Coconut Grove to Northwest 30th Street,201,388330,12,3.1,21,6,1,0.3,62,0.5,2,0.5,30,1,14,3.6,43,7,15,3.9,36,7.5,0,0,49,0,0,0,65,0,11,2.8,30,5.5,1,0.3,4,0.5,9,2.3,18,4.5,4,1,60,2,132,34,18,65.7
7,Downtown Miami to Dolphin Mall,664,2245675,41,1.8,38,6.2,12,0.5,44,1.8,10,0.4,35,1.5,64,2.9,65,9.6,59,2.6,74,8.9,5,0.2,21,0.8,4,0.2,45,0.6,22,1,82,3.3,0,0,34,0,18,0.8,59,2.7,25,1.1,55,3.8,404,18,41,60.8
8,Downtown Miami to Westchester,648,3690375,27,0.7,65,4.2,7,0.2,71,1.1,11,0.3,50,1.7,110,3,58,17,102,2.8,70,15.7,5,0.1,32,0.8,6,0.2,47,0.9,39,1.1,77,6,0,0,34,0,29,0.8,61,4.5,39,1.1,58,6,273,7.4,70,42.1
9,Aventura to Downtown Miami,575,3116612,38,1.2,53,6.6,7,0.2,67,1.2,6,0.2,68,1,94,3,57,16.3,118,3.8,40,20.5,7,0.2,20,1.2,5,0.2,50,0.9,35,1.1,76,6.1,2,0.1,24,0.3,23,0.7,63,4,45,1.4,41,7.8,195,6.3,72,33.9
10,Skylake to Omni Bus Terminal,150,1430350,7,0.5,78,4.7,0,0,83,0,3,0.2,63,2,33,2.3,77,22,25,1.7,83,16.7,0,0,49,0,2,0.1,54,1.3,3,0.2,91,2,1,0.1,22,0.7,4,0.3,82,2.7,19,1.3,47,12.7,53,3.7,81,35.3
11,Florida International University to Downtown Miami,536,6364710,46,0.7,66,8.6,5,0.1,78,0.9,23,0.4,40,4.3,84,1.3,89,15.7,117,1.8,82,21.8,4,0.1,47,0.7,12,0.2,43,2.2,51,0.8,88,9.5,4,0.1,25,0.7,24,0.4,79,4.5,29,0.5,82,5.4,137,2.2,90,25.6
12,Northside to Mercy Hospital,596,1526402,26,1.7,39,4.4,5,0.3,53,0.8,13,0.9,19,2.2,93,6.1,20,15.6,79,5.2,21,13.3,5,0.3,11,0.8,11,0.7,14,1.8,30,2,44,5,2,0.1,9,0.3,17,1.1,44,2.9,21,1.4,43,3.5,294,19.3,35,49.3
